"TL","Territory Level and Typology","REG_ID","Region","VAR","Indicator","SEX","Gender","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"1","Country","IRL","Ireland","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2018","2018","RATIO","Ratio","0","Units",,,70.36,,
"1","Country","ISR","Israel","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2015","2015","RATIO","Ratio","0","Units",,,383.36,,
"1","Country","CHL","Chile","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2017","2017","IDX","Index","0","Units","2001_100","2001=100",118.6,,
"1","Country","KOR","South Korea","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2015","2015","IDX","Index","0","Units","2001_100","2001=100",107.7,,
"1","Country","MEX","Mexico","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2017","2017","IDX","Index","0","Units","2001_100","2001=100",121,,
"1","Country","CHE","Switzerland","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2018","2018","RATIO","Ratio","0","Units",,,212.85,,
"1","Country","BRA","Brazil","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2017","2017","RATIO","Ratio","0","Units",,,24.3,,
"1","Country","ISL","Iceland","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2017","2017","IDX","Index","0","Units","2001_100","2001=100",119.5,,
"1","Country","CHL","Chile","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2017","2017","RATIO","Ratio","0","Units",,,24.88,,
"1","Country","MEX","Mexico","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2015","2015","IDX","Index","0","Units","2001_100","2001=100",118.5,,
"1","Country","MEX","Mexico","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2016","2016","RATIO","Ratio","0","Units",,,62.41,,
"1","Country","TUN","Tunisia","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2006","2006","RATIO","Ratio","0","Units",,,65.47,,
"1","Country","TUN","Tunisia","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2012","2012","RATIO","Ratio","0","Units",,,69.71,,
